timestamp,profileId,score,won,roomReached,rupees
2026-05-07T10:00:00Z,p1,1200,true,8,552026-05-11T15:58:23.274634200Z,p1778168451201,0,true,1,0
2026-05-11T15:58:23.699911100Z,p1778168451201,0,false,1,0
2026-05-11T15:58:24.692048800Z,p1778168451201,0,true,1,0
2026-05-11T15:58:24.876714300Z,p1778168451201,0,true,1,0
2026-05-11T15:58:25.147053800Z,p1778168451201,0,true,1,0
2026-05-11T15:58:25.400120700Z,p1778168451201,0,false,1,0
2026-05-11T15:58:25.674274900Z,p1778168451201,0,true,1,0
2026-05-11T15:58:25.874400900Z,p1778168451201,0,false,1,0
2026-05-11T15:58:26.070189900Z,p1778168451201,0,true,1,0
2026-05-11T15:58:26.238914100Z,p1778168451201,0,false,1,0
2026-05-11T16:04:41.377243Z,p1,0,true,2,0
2026-05-11T16:04:42.098515600Z,p1,0,true,1,0
2026-05-11T16:04:42.582360200Z,p1,0,false,1,0
2026-05-19T16:30:01.055767300Z,p1,0,true,3,0
2026-05-19T16:30:02.714893400Z,p1,0,true,1,0
2026-05-19T16:30:03.262363400Z,p1,0,false,1,0
